ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,"Mme RÉMY-LELEU Raphaëlle","M. RUPIN Pacôme    ","Mme POL Patricia    ","M. VÉRON Aurélien    ","Mme CHAVANE Christiane    ","Mme LEWI Olivia    ","M. BERKANI Christophe    ","M. WEIL Ariel","Mme LEBRETON Anne    ","M. BULLARA Michaël    ","Mme CAMPION Singrid    "
4-1,Municipales,2020,1,2020/03/15,7,14,4,1,17,1269,551,551,6,3,542,30,83,12,168,4,3,2,199,32,5,4
4-2,Municipales,2020,1,2020/03/15,7,14,4,2,21,1139,552,552,3,7,542,42,123,14,110,5,1,1,188,55,2,1
4-3,Municipales,2020,1,2020/03/15,7,14,4,3,24,1416,606,606,5,1,600,65,116,21,94,7,3,1,230,58,2,3
4-4,Municipales,2020,1,2020/03/15,7,14,4,4,32,1313,629,629,4,8,617,60,114,22,118,6,6,5,229,46,5,6
4-5,Municipales,2020,1,2020/03/15,7,15,4,5,69,1418,718,718,1,4,713,56,170,10,180,6,3,1,227,50,8,2
4-6,Municipales,2020,1,2020/03/15,7,15,4,6,42,1729,787,787,2,4,781,72,157,13,165,6,1,1,287,70,6,3
4-7,Municipales,2020,1,2020/03/15,7,15,4,7,33,1351,660,660,1,1,658,53,120,9,146,14,4,1,239,65,3,4
4-8,Municipales,2020,1,2020/03/15,7,15,4,8,13,1568,711,712,1,4,707,50,121,17,188,15,1,5,217,83,4,6
4-9,Municipales,2020,1,2020/03/15,7,16,4,9,43,1056,518,518,2,3,513,25,96,12,173,8,2,2,142,47,4,2
4-10,Municipales,2020,1,2008/03/11,7,16,4,10,7,1040,505,505,9,0,496,30,107,8,161,3,1,0,114,60,8,4
4-11,Municipales,2020,1,2020/03/15,7,13,4,11,20,1037,504,504,2,1,501,39,97,19,96,3,1,4,188,45,5,4
4-12,Municipales,2020,1,2020/03/15,7,13,4,12,18,1216,609,608,2,5,601,39,125,22,115,6,6,1,220,59,8,0
4-13,Municipales,2020,1,2020/03/15,7,13,4,13,31,1604,739,739,4,3,732,65,148,29,126,16,3,1,273,57,5,9
4-14,Municipales,2020,1,2020/03/15,7,14,4,14,37,1251,611,611,2,6,603,46,104,9,127,7,1,1,253,50,2,3
